,mIoU,IoU_rust,IoU_PM,IoU_leaf,IoU_background
count,55.0,55.0,55.0,55.0,55.0
mean,0.604756931018613,0.30683348336400046,0.19096820669403616,0.9544304523703738,0.9667955816460415
std,0.07320978923952015,0.2521081879717531,0.20374292964302626,0.02978199653378993,0.0177936222605832
min,0.4863250734522208,0.0,0.0,0.8549518106834024,0.8998613512759556
25%,0.5526907335703435,0.014256270383985449,0.0026761378969311607,0.9458206081723084,0.9591579194085056
50%,0.5977775228490961,0.3204703894091965,0.0719363421444987,0.9576974121917043,0.9703609850659718
75%,0.6516999908022127,0.55393918742382,0.3596292890370173,0.9772408816819742,0.9791643003296543
max,0.7911452089815176,0.74127567863435,0.6408653902659756,0.9903321889334252,0.9885160219719106
