name,mIoU,image_type
251_leaf4,0.7911452089815176,Other
RPM_6,0.7476904833238225,RPM
RPM_8,0.7452090514812033,RPM
RPM_9,0.7206244317256282,RPM
RPM_5,0.7130129380581023,RPM
RPM_16,0.7097894257616149,RPM
RPM_13,0.6864889582745755,RPM
RPM_2,0.6859387858124595,RPM
PM_9,0.6825328729976454,PM
PM_5,0.6765114405877951,PM
