name,mIoU,image_type
C_8,0.4863250734522208,C
C_9,0.4889000789742601,C
45_leaf2,0.4924497320160954,Other
22_leaf5,0.4928103940993881,Other
119_leaf3,0.4956460367026765,Other
269_leaf3,0.5002456294214118,Other
60_leaf1,0.5080395931605861,Other
PM_4,0.5127859714322822,PM
PM_10,0.5369633857399094,PM
410_leaf2,0.5381509489098063,Other
