image,class,precision,recall,f1,IoU,ground_truth_surface_mm2,prediction_surface_mm2,surface_error_mm2,surface_error_percent
45_leaf2,bg,0.9850511094070846,0.9293404907519157,0.956385184051232,0.9164158743585543,1327.6747639999996,1252.5866982448977,75.08806575510198,5.655606914518565
45_leaf2,leaf,0.9868198643785616,0.9770884500745876,0.9819300470316997,0.9645015493962567,2730.835881306122,2703.906047081632,26.929834224489696,0.9861388745049599
45_leaf2,oidium,0.035313659581597115,0.5125989548300305,0.06607529929636176,0.034166428130485614,6.361738428571427,92.3444499387755,85.98271151020407,1351.5599937910695
45_leaf2,yellow_rust,0.13221484912983597,0.5564850800342533,0.2136651618043173,0.11961092469099095,4.997027530612244,21.032215999999995,16.03518846938775,320.89453922666496
478_leaf5,bg,0.9900621721668786,0.9841018906458745,0.9870730339384156,0.9744760155574762,579.2513102244897,575.7641545918366,3.487155632653071,0.6020108321035318
478_leaf5,leaf,0.9888736107009996,0.9908141173699879,0.9898429129849621,0.9798900841352277,1341.753406020408,1344.3863829795916,2.6329769591836794,0.1962340432578433
478_leaf5,oidium,0.8299629360213377,0.8451569664902998,0.837491043184956,0.7204168520812537,46.658892857142845,47.51307153061224,0.8541786734693915,1.8306878306878307
478_leaf5,yellow_rust,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
410_leaf2,bg,0.9921842562712977,0.9863129818681051,0.9892399074418929,0.978708908993677,1319.8739237755099,1312.0635378163263,7.810385959183577,0.5917524256288056
410_leaf2,leaf,0.995414799157262,0.9949832569502951,0.9951989812720115,0.9904438418383248,2853.309961571428,2852.0729660204074,1.2369955510207546,0.043353002922232355
410_leaf2,oidium,0.21891923850065034,0.6327841957755144,0.32529781776012934,0.19424218897538661,4.815329408163264,13.918668673469385,9.103339265306122,189.04914895071434
410_leaf2,yellow_rust,0.6501457725947521,0.6071567483469467,0.6279163314561544,0.4576370565816476,0.8462787551020406,0.7903209999999998,0.05595775510204082,6.612213146635551
260_leaf4,bg,0.9960886179665758,0.9979811636391359,0.9970339927076247,0.9940855277829757,2046.5538397346934,2050.4422453877546,3.888405653061227,0.18999772092804068
260_leaf4,leaf,0.9896042095082082,0.9910760693908962,0.9903395925739313,0.9808640462575017,1810.5595783469385,1813.2524630204077,2.6928846734692797,0.14873217681839676
260_leaf4,oidium,0.7386129439394181,0.49381555617269446,0.591902186089684,0.42035587318040063,30.81692322448979,20.60331626530612,10.213606959183672,33.14285103928564
260_leaf4,yellow_rust,0.0,1.0,0.0,0.0,0.0,3.6323166326530605,3.6323166326530605,0.0
664_leaf3,bg,0.9834165311007613,0.9867075397728023,0.9850592866916039,0.9705584511243146,971.0128703469386,974.2623701020407,3.249499755102079,0.33465053392557076
664_leaf3,leaf,0.9682796635261962,0.980805672467596,0.9745024181173494,0.9502727605932699,1524.4248642448977,1544.1453646326527,19.72050038775501,1.293635445753725
664_leaf3,oidium,0.756694188117209,0.28982712436132746,0.4191228557850091,0.26512044741663404,53.08481812244897,20.33241489795918,32.7524032244898,61.698248921077436
664_leaf3,yellow_rust,0.0,1.0,0.0,0.0,0.0,9.782403081632651,9.782403081632651,0.0
224_leaf1,bg,0.991564640317154,0.9903205842307217,0.9909422218185454,0.9820470574087864,917.4619570408162,916.3108731020407,1.151083938775514,0.12546394212226725
224_leaf1,leaf,0.9960524981898145,0.996291539916579,0.9961720047130662,0.9923732047623566,2460.6073236734687,2461.1978425714283,0.590518897959555,0.02399890841085489
224_leaf1,oidium,0.0,1.0,0.0,0.0,0.0,1.048385,1.048385,0.0
224_leaf1,yellow_rust,0.6447983014861995,0.4904715762273902,0.5571454778939644,0.38614113159567703,2.03817893877551,1.5503589795918364,0.4878199591836736,23.934108527131784
376_leaf5,bg,0.9723922823465648,0.9938307442788242,0.9829946375453484,0.9665579689499231,988.7827492244896,1010.5825739591835,21.799824734693857,2.2047132953919
376_leaf5,leaf,0.995482965249926,0.9838623213682204,0.9896385311798913,0.9794895804326174,2791.355180938775,2758.770650979591,32.58452995918378,1.1673372912803233
376_leaf5,oidium,0.0,1.0,0.0,0.0,0.0,28.39066079591836,28.39066079591836,0.0
376_leaf5,yellow_rust,0.6265319286175016,0.30630303493616695,0.4114524834894005,0.2590117571007232,34.446277387755096,16.840321816326526,17.60595557142857,51.11134469841755
483_leaf2,bg,0.9804959071795607,0.994988135730848,0.9876888636761941,0.9756771690401163,802.6363144081631,814.4996876530611,11.863373244897957,1.4780508970174875
483_leaf2,leaf,0.9781535392727292,0.9835622123952614,0.9808504196709601,0.9624204715408756,1411.6676835714284,1419.4734612448976,7.805777673469265,0.5529472526934435
483_leaf2,oidium,0.0,1.0,0.0,0.0,0.0,3.1675381020408158,3.1675381020408158,0.0
483_leaf2,yellow_rust,0.8752424439566854,0.6155767183096784,0.7227957421168909,0.5659202415398163,76.97450042857142,54.13781140816325,22.836689020408166,29.667862595093414
327_leaf3,bg,0.995583133825182,0.989492001917373,0.9925282226613027,0.985167272162334,1525.1526442244894,1515.8215239795916,9.331120244897875,0.6118154979590683
327_leaf3,leaf,0.9913443232997334,0.996067830562384,0.993700463721736,0.9874797989044843,2058.604836040816,2068.4135721836733,9.80873614285747,0.47647493929537543
327_leaf3,oidium,0.5356019111991609,0.45918673194125287,0.49445938676707907,0.3284264684864942,3.294595122448979,2.8245499795918363,0.47004514285714283,14.267159556399243
327_leaf3,yellow_rust,0.4547215496368039,0.4530395625603088,0.453878997824861,0.29355981659024594,2.046737183673469,2.0391664285714284,0.007570755102040749,0.36989385654551304
474_leaf3,bg,0.992324444180988,0.9942389698044523,0.9932807844426679,0.9866512619338207,1269.1659935918365,1271.6146391224488,2.448645530612339,0.19293343368603746
474_leaf3,leaf,0.9497028454102932,0.9919467660712801,0.9703652612322772,0.9424364045774329,1623.0020206122447,1695.1950954489794,72.1930748367347,4.448119837183031
474_leaf3,oidium,0.9669621749408983,0.578984432782105,0.7242889807229609,0.5677531743305191,186.03056934693873,111.38884897959181,74.64172036734692,40.12336285879093
474_leaf3,yellow_rust,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
111_leaf2,bg,0.9691919363699235,0.9385814558342189,0.9536411214645237,0.911390098585751,1319.1227732040813,1277.46024955102,41.66252365306127,3.158350723630151
111_leaf2,leaf,0.9877429381458994,0.9419835851586946,0.9643207188721362,0.9310997491636431,2301.056951530612,2194.455453081632,106.60149844897978,4.6327188198480105
111_leaf2,oidium,0.0,1.0,0.0,0.0,0.0,144.716958755102,144.716958755102,0.0
111_leaf2,yellow_rust,0.6979528447133804,0.7333204800240765,0.7151996844673553,0.5566621332676526,69.99854334693876,73.54560669387753,3.5470633469387707,5.067338800692197
119_leaf3,bg,0.9763726784394796,0.9904349853221678,0.9833535604489734,0.9672522542677118,977.0954783265304,991.1681954081631,14.072717081632732,1.4402601786403684
119_leaf3,leaf,0.994179958309316,0.9809876607679834,0.9875397533500159,0.9753862007101761,1802.7478757346935,1778.8262645918364,23.921611142857046,1.3269526740176079
119_leaf3,oidium,0.12856320184278722,0.1903645278192283,0.15347598178224628,0.08311615785554728,1.5441048775510202,2.2863680408163263,0.7422631632653061,48.07077382221275
119_leaf3,yellow_rust,0.0,1.0,0.0,0.0,0.0,9.106630897959182,9.106630897959182,0.0
269_leaf3,bg,0.9859872410051821,0.9490278613525582,0.9671545834571603,0.9363981947022034,800.2910261428569,770.2924027959182,29.998623346938757,3.7484642919866786
269_leaf3,leaf,0.9870590766598032,0.9882707906114079,0.9876645619886404,0.9756297417867907,1839.6780191224486,1841.936408285714,2.258389163265292,0.12276002321007172
269_leaf3,oidium,0.003846521406727829,0.17118553960659225,0.007523979764700385,0.0037761958930937834,0.6191561020408162,27.554915265306118,26.935759163265303,4350.398724082935
269_leaf3,yellow_rust,0.22265246853823814,0.3676078849227491,0.27733118971061094,0.16098926738217453,1.2356788979591835,2.0401539183673467,0.8044750204081632,65.10388918486947
171_leaf5,bg,0.9974324777978807,0.9869343991970398,0.9921556690220706,0.984433447236206,1053.3747859387754,1042.2879088367345,11.086877102040944,1.0525102033992686
171_leaf5,leaf,0.9875384655541485,0.9979178083594963,0.9927010069820941,0.9855077924856495,1285.3891342857141,1298.8989821836733,13.509847897959162,1.0510317488770864
171_leaf5,oidium,0.08,0.0003546728143287817,0.0007062146892655367,0.00035323207347227127,1.856151653061224,0.00822908163265306,1.847922571428571,99.55665898208902
171_leaf5,yellow_rust,1.0,0.0,0.0,0.0,0.5750482244897958,0.0,0.5750482244897958,100.0
22_leaf5,bg,0.9908760397015652,0.9960239207255295,0.993443311362683,0.9869720429831061,1065.6199885714284,1071.156185530612,5.536196959183599,0.5195282575926063
22_leaf5,leaf,0.998436472343411,0.9960065897775856,0.9972200508655016,0.9944555151169551,2630.3979649999997,2623.996397816326,6.401567183673706,0.2433687703857948
22_leaf5,oidium,0.0,1.0,0.0,0.0,0.0,0.8653702244897957,0.8653702244897957,0.0
22_leaf5,yellow_rust,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
672_leaf2,bg,0.9781180994913783,0.996181599306214,0.9870672150283002,0.9744646729505135,1302.6359727346937,1326.6925408163263,24.056568081632577,1.8467606134912278
672_leaf2,leaf,0.9577639944473779,0.9412772722042815,0.9494490677376842,0.9037630052767521,1962.5391953877547,1928.7565111428569,33.78268424489784,1.7213762825370342
672_leaf2,oidium,0.3118515024929255,0.7052952380952381,0.43247915158027517,0.2759000953743443,4.3202678571428565,9.770882367346937,5.450614510204081,126.16380952380952
672_leaf2,yellow_rust,0.7976462075077444,0.806159871349556,0.8018804424099186,0.6692824913256862,400.5722732448979,404.8477748979591,4.275501653061212,1.0673483759689253
379_leaf3,bg,0.9695908469635233,0.9956983702658325,0.9824711983178612,0.9655463282156519,946.024111897959,971.4970695102039,25.472957612244954,2.692633019801136
379_leaf3,leaf,0.9599574758181529,0.9593196505660078,0.9596384572091958,0.9224086221362373,1524.3656148571426,1523.3527794897957,1.012835367346952,0.06644307359569099
379_leaf3,oidium,0.0,1.0,0.0,0.0,0.0,36.84521926530611,36.84521926530611,0.0
379_leaf3,yellow_rust,0.906981447397713,0.702006290437661,0.7914375807985116,0.6548586719430047,271.2660802448979,209.96073873469385,61.30534151020407,22.599707805287654
308_leaf2,bg,0.9973876180185058,0.9911939189653161,0.9942811229462675,0.9886272850510949,1644.193880795918,1633.9835654693875,10.210315326530463,0.6209921740852132
308_leaf2,leaf,0.9936673302112331,0.9955978894142209,0.9946316730198852,0.9893206761421658,2256.5287324897954,2260.912858020408,4.384125530612437,0.1942862710981266
308_leaf2,oidium,0.0,1.0,0.0,0.0,0.0,6.013154530612244,6.013154530612244,0.0
308_leaf2,yellow_rust,0.7798657718120805,0.564625850340136,0.6550169109357384,0.48700754400670576,0.6774179999999999,0.4904532653061224,0.18696473469387748,27.59961127308066
